,Drain Voltage,Drain Current,Drain Time
"1,123",-6.00E-01,-2.63E-03,10.002430
"1,124",-6.00E-01,-2.63E-03,10.002450
"1,125",-6.00E-01,-2.63E-03,10.002470
"1,126",-6.00E-01,-2.63E-03,10.002490
"1,127",-6.00E-01,-2.63E-03,10.002510
"1,128",-6.00E-01,-2.63E-03,10.002530
"1,129",-6.00E-01,-2.63E-03,10.002550
"1,130",-6.00E-01,-2.63E-03,10.002570
"1,131",-6.00E-01,-2.63E-03,10.002590
"1,132",-6.00E-01,-2.63E-03,10.002610
"1,133",-6.00E-01,-2.63E-03,10.002630
"1,134",-6.00E-01,-2.63E-03,10.002650
"1,135",-6.00E-01,-2.63E-03,10.002670
"1,136",-6.00E-01,-2.63E-03,10.002690
"1,137",-6.00E-01,-2.63E-03,10.002710
"1,138",-6.00E-01,-2.63E-03,10.002730
"1,139",-6.00E-01,-2.63E-03,10.002750
"1,140",-6.00E-01,-2.63E-03,10.002770
"1,141",-6.00E-01,-2.63E-03,10.002790
"1,142",-6.00E-01,-2.63E-03,10.002810
"1,143",-6.00E-01,-2.63E-03,10.002830
"1,144",-6.00E-01,-2.63E-03,10.002850
"1,145",-6.00E-01,-2.63E-03,10.002870
"1,146",-6.00E-01,-2.63E-03,10.002890
"1,147",-6.00E-01,-2.63E-03,10.002910
"1,148",-6.00E-01,-2.63E-03,10.002930
"1,149",-6.00E-01,-2.63E-03,10.002950
"1,150",-6.00E-01,-2.63E-03,10.002970
"1,151",-6.00E-01,-2.63E-03,10.002990
"1,152",-6.00E-01,-2.63E-03,10.003010
"1,153",-6.00E-01,-2.63E-03,10.003030
"1,154",-6.00E-01,-2.63E-03,10.003050
"1,155",-6.00E-01,-2.63E-03,10.003070
"1,156",-6.00E-01,-2.63E-03,10.003090
"1,157",-6.00E-01,-2.63E-03,10.003110
"1,158",-6.00E-01,-2.63E-03,10.003130
"1,159",-6.00E-01,-2.63E-03,10.003150
"1,160",-6.00E-01,-2.63E-03,10.003170
"1,161",-6.00E-01,-2.63E-03,10.003190
"1,162",-6.00E-01,-2.63E-03,10.003210
"1,163",-6.00E-01,-2.63E-03,10.003230
"1,164",-6.00E-01,-2.63E-03,10.003250
"1,165",-6.00E-01,-2.63E-03,10.003270
"1,166",-6.00E-01,-2.63E-03,10.003290
"1,167",-6.00E-01,-2.63E-03,10.003310
"1,168",-6.00E-01,-2.63E-03,10.003330
"1,169",-6.00E-01,-2.63E-03,10.003350
"1,170",-6.00E-01,-2.63E-03,10.003370
"1,171",-6.00E-01,-2.63E-03,10.003390
"1,172",-6.00E-01,-2.63E-03,10.003410
"1,173",-6.00E-01,-2.63E-03,10.003430
"1,174",-6.00E-01,-2.63E-03,10.003450
"1,175",-6.00E-01,-2.63E-03,10.003470
"1,176",-6.00E-01,-2.63E-03,10.003490
"1,177",-6.00E-01,-2.63E-03,10.003510
"1,178",-6.00E-01,-2.63E-03,10.003530
"1,179",-6.00E-01,-2.63E-03,10.003550
"1,180",-6.00E-01,-2.63E-03,10.003570
"1,181",-6.00E-01,-2.63E-03,10.003590
"1,182",-6.00E-01,-2.63E-03,10.003610
"1,183",-6.00E-01,-2.63E-03,10.003630
"1,184",-6.00E-01,-2.63E-03,10.003650
"1,185",-6.00E-01,-2.63E-03,10.003670
"1,186",-6.00E-01,-2.63E-03,10.003690
"1,187",-6.00E-01,-2.63E-03,10.003710
"1,188",-6.00E-01,-2.63E-03,10.003730
"1,189",-6.00E-01,-2.63E-03,10.003750
"1,190",-6.00E-01,-2.63E-03,10.003770
"1,191",-6.00E-01,-2.63E-03,10.003790
"1,192",-6.00E-01,-2.63E-03,10.003810
"1,193",-6.00E-01,-2.63E-03,10.003830
"1,194",-6.00E-01,-2.63E-03,10.003850
"1,195",-6.00E-01,-2.63E-03,10.003870
"1,196",-6.00E-01,-2.63E-03,10.003890
"1,197",-6.00E-01,-2.63E-03,10.003910
"1,198",-6.00E-01,-2.63E-03,10.003930
"1,199",-6.00E-01,-2.63E-03,10.003950
"1,200",-6.00E-01,-2.63E-03,10.003970
"1,201",-6.00E-01,-2.63E-03,10.003990
"1,202",-6.00E-01,-2.63E-03,10.004010
"1,203",-6.00E-01,-2.63E-03,10.004030
"1,204",-6.00E-01,-2.63E-03,10.004050
"1,205",-6.00E-01,-2.63E-03,10.004070
"1,206",-6.00E-01,-2.63E-03,10.004090
"1,207",-6.00E-01,-2.63E-03,10.004110
"1,208",-6.00E-01,-2.63E-03,10.004130
"1,209",-6.00E-01,-2.63E-03,10.004150
"1,210",-6.00E-01,-2.63E-03,10.004170
"1,211",-6.00E-01,-2.63E-03,10.004190
"1,212",-6.00E-01,-2.63E-03,10.004210
"1,213",-6.00E-01,-2.63E-03,10.004230
"1,214",-6.00E-01,-2.63E-03,10.004250
"1,215",-6.00E-01,-2.63E-03,10.004270
"1,216",-6.00E-01,-2.63E-03,10.004290
"1,217",-6.00E-01,-2.63E-03,10.004310
"1,218",-6.00E-01,-2.63E-03,10.004330
"1,219",-6.00E-01,-2.63E-03,10.004350
"1,220",-6.00E-01,-2.63E-03,10.004370
"1,221",-6.00E-01,-2.63E-03,10.004390
"1,222",-6.00E-01,-2.63E-03,10.004410
"1,223",-6.00E-01,-2.63E-03,10.004430
"1,224",-6.00E-01,-2.63E-03,10.004450
"1,225",-6.00E-01,-2.63E-03,10.004470
"1,226",-6.00E-01,-2.63E-03,10.004490
"1,227",-6.00E-01,-2.63E-03,10.004510
"1,228",-6.00E-01,-2.63E-03,10.004530
"1,229",-6.00E-01,-2.63E-03,10.004550
"1,230",-6.00E-01,-2.63E-03,10.004570
"1,231",-6.00E-01,-2.63E-03,10.004590
"1,232",-6.00E-01,-2.63E-03,10.004610
"1,233",-6.00E-01,-2.63E-03,10.004630
"1,234",-6.00E-01,-2.63E-03,10.004650
"1,235",-6.00E-01,-2.63E-03,10.004670
"1,236",-6.00E-01,-2.63E-03,10.004690
"1,237",-6.00E-01,-2.63E-03,10.004710
"1,238",-6.00E-01,-2.63E-03,10.004730
"1,239",-6.00E-01,-2.63E-03,10.004750
"1,240",-6.00E-01,-2.63E-03,10.004770
"1,241",-6.00E-01,-2.63E-03,10.004790
"1,242",-6.00E-01,-2.63E-03,10.004810
"1,243",-6.00E-01,-2.63E-03,10.004830
"1,244",-6.00E-01,-2.63E-03,10.004850
"1,245",-6.00E-01,-2.63E-03,10.004870
"1,246",-6.00E-01,-2.63E-03,10.004890
"1,247",-6.00E-01,-2.63E-03,10.004910
"1,248",-6.00E-01,-2.63E-03,10.004930
"1,249",-6.00E-01,-2.63E-03,10.004950
"1,250",-6.00E-01,-2.63E-03,10.004970
"1,251",-6.00E-01,-2.63E-03,10.004990
"1,252",-6.00E-01,-2.63E-03,10.005010
"1,253",-6.00E-01,-2.63E-03,10.005030
"1,254",-6.00E-01,-2.63E-03,10.005050
"1,255",-6.00E-01,-2.63E-03,10.005070
"1,256",-6.00E-01,-2.63E-03,10.005090
"1,257",-6.00E-01,-2.63E-03,10.005110
"1,258",-6.00E-01,-2.63E-03,10.005130
"1,259",-6.00E-01,-2.63E-03,10.005150
"1,260",-6.00E-01,-2.63E-03,10.005170
"1,261",-6.00E-01,-2.63E-03,10.005190
"1,262",-6.00E-01,-2.63E-03,10.005210
"1,263",-6.00E-01,-2.63E-03,10.005230
"1,264",-6.00E-01,-2.63E-03,10.005250
"1,265",-6.00E-01,-2.63E-03,10.005270
"1,266",-6.00E-01,-2.63E-03,10.005290
"1,267",-6.00E-01,-2.63E-03,10.005310
"1,268",-6.00E-01,-2.63E-03,10.005330
"1,269",-6.00E-01,-2.63E-03,10.005350
"1,270",-6.00E-01,-2.63E-03,10.005370
"1,271",-6.00E-01,-2.63E-03,10.005390
"1,272",-6.00E-01,-2.63E-03,10.005410
"1,273",-6.00E-01,-2.63E-03,10.005430
"1,274",-6.00E-01,-2.63E-03,10.005450
"1,275",-6.00E-01,-2.63E-03,10.005470
"1,276",-6.00E-01,-2.63E-03,10.005490
"1,277",-6.00E-01,-2.63E-03,10.005510
"1,278",-6.00E-01,-2.63E-03,10.005530
"1,279",-6.00E-01,-2.63E-03,10.005550
"1,280",-6.00E-01,-2.63E-03,10.005570
"1,281",-6.00E-01,-2.63E-03,10.005590
"1,282",-6.00E-01,-2.63E-03,10.005610
"1,283",-6.00E-01,-2.63E-03,10.005630
"1,284",-6.00E-01,-2.63E-03,10.005650
"1,285",-6.00E-01,-2.63E-03,10.005670
"1,286",-6.00E-01,-2.63E-03,10.005690
"1,287",-6.00E-01,-2.63E-03,10.005710
"1,288",-6.00E-01,-2.63E-03,10.005730
"1,289",-6.00E-01,-2.63E-03,10.005750
"1,290",-6.00E-01,-2.63E-03,10.005770
"1,291",-6.00E-01,-2.63E-03,10.005790
"1,292",-6.00E-01,-2.63E-03,10.005810
"1,293",-6.00E-01,-2.63E-03,10.005830
"1,294",-6.00E-01,-2.63E-03,10.005850
"1,295",-6.00E-01,-2.63E-03,10.005870
"1,296",-6.00E-01,-2.63E-03,10.005890
"1,297",-6.00E-01,-2.63E-03,10.005910
"1,298",-6.00E-01,-2.63E-03,10.005930
"1,299",-6.00E-01,-2.63E-03,10.005950
"1,300",-6.00E-01,-2.63E-03,10.005970
"1,301",-6.00E-01,-2.63E-03,10.005990
"1,302",-6.00E-01,-2.63E-03,10.006010
"1,303",-6.00E-01,-2.63E-03,10.006030
"1,304",-6.00E-01,-2.63E-03,10.006050
"1,305",-6.00E-01,-2.63E-03,10.006070
"1,306",-6.00E-01,-2.63E-03,10.006090
"1,307",-6.00E-01,-2.63E-03,10.006110
"1,308",-6.00E-01,-2.63E-03,10.006130
"1,309",-6.00E-01,-2.63E-03,10.006150
"1,310",-6.00E-01,-2.63E-03,10.006170
"1,311",-6.00E-01,-2.63E-03,10.006190
"1,312",-6.00E-01,-2.63E-03,10.006210
"1,313",-6.00E-01,-2.63E-03,10.006230
"1,314",-6.00E-01,-2.63E-03,10.006250
"1,315",-6.00E-01,-2.63E-03,10.006270
"1,316",-6.00E-01,-2.63E-03,10.006290
"1,317",-6.00E-01,-2.63E-03,10.006310
"1,318",-6.00E-01,-2.63E-03,10.006330
"1,319",-6.00E-01,-2.63E-03,10.006350
"1,320",-6.00E-01,-2.63E-03,10.006370
"1,321",-6.00E-01,-2.63E-03,10.006390
"1,322",-6.00E-01,-2.63E-03,10.006410
"1,323",-6.00E-01,-2.63E-03,10.006430
"1,324",-6.00E-01,-2.63E-03,10.006450
"1,325",-6.00E-01,-2.63E-03,10.006470
"1,326",-6.00E-01,-2.63E-03,10.006490
"1,327",-6.00E-01,-2.63E-03,10.006510
"1,328",-6.00E-01,-2.63E-03,10.006530
"1,329",-6.00E-01,-2.63E-03,10.006550
"1,330",-6.00E-01,-2.63E-03,10.006570
"1,331",-6.00E-01,-2.63E-03,10.006590
"1,332",-6.00E-01,-2.63E-03,10.006610
"1,333",-6.00E-01,-2.63E-03,10.006630
"1,334",-6.00E-01,-2.63E-03,10.006650
"1,335",-6.00E-01,-2.63E-03,10.006670
"1,336",-6.00E-01,-2.63E-03,10.006690
"1,337",-6.00E-01,-2.63E-03,10.006710
"1,338",-6.00E-01,-2.63E-03,10.006730
"1,339",-6.00E-01,-2.63E-03,10.006750
"1,340",-6.00E-01,-2.63E-03,10.006770
"1,341",-6.00E-01,-2.63E-03,10.006790
"1,342",-6.00E-01,-2.63E-03,10.006810
"1,343",-6.00E-01,-2.63E-03,10.006830
"1,344",-6.00E-01,-2.63E-03,10.006850
"1,345",-6.00E-01,-2.63E-03,10.006870
"1,346",-6.00E-01,-2.63E-03,10.006890
"1,347",-6.00E-01,-2.63E-03,10.006910
"1,348",-6.00E-01,-2.63E-03,10.006930
"1,349",-6.00E-01,-2.63E-03,10.006950
"1,350",-6.00E-01,-2.63E-03,10.006970
"1,351",-6.00E-01,-2.63E-03,10.006990
"1,352",-6.00E-01,-2.63E-03,10.007010
"1,353",-6.00E-01,-2.63E-03,10.007030
"1,354",-6.00E-01,-2.63E-03,10.007050
"1,355",-6.00E-01,-2.63E-03,10.007070
"1,356",-6.00E-01,-2.63E-03,10.007090
"1,357",-6.00E-01,-2.63E-03,10.007110
"1,358",-6.00E-01,-2.63E-03,10.007130
"1,359",-6.00E-01,-2.63E-03,10.007150
"1,360",-6.00E-01,-2.63E-03,10.007170
"1,361",-6.00E-01,-2.63E-03,10.007190
"1,362",-6.00E-01,-2.63E-03,10.007210
"1,363",-6.00E-01,-2.63E-03,10.007230
"1,364",-6.00E-01,-2.63E-03,10.007250
"1,365",-6.00E-01,-2.63E-03,10.007270
"1,366",-6.00E-01,-2.63E-03,10.007290
"1,367",-6.00E-01,-2.63E-03,10.007310
"1,368",-6.00E-01,-2.63E-03,10.007330
"1,369",-6.00E-01,-2.63E-03,10.007350
"1,370",-6.00E-01,-2.63E-03,10.007370
"1,371",-6.00E-01,-2.63E-03,10.007390
"1,372",-6.00E-01,-2.63E-03,10.007410
"1,373",-6.00E-01,-2.63E-03,10.007430
"1,374",-6.00E-01,-2.63E-03,10.007450
"1,375",-6.00E-01,-2.63E-03,10.007470
"1,376",-6.00E-01,-2.63E-03,10.007490
"1,377",-6.00E-01,-2.63E-03,10.007510
"1,378",-6.00E-01,-2.63E-03,10.007530
"1,379",-6.00E-01,-2.63E-03,10.007550
"1,380",-6.00E-01,-2.63E-03,10.007570
"1,381",-6.00E-01,-2.63E-03,10.007590
"1,382",-6.00E-01,-2.63E-03,10.007610
"1,383",-6.00E-01,-2.63E-03,10.007630
"1,384",-6.00E-01,-2.63E-03,10.007650
"1,385",-6.00E-01,-2.63E-03,10.007670
"1,386",-6.00E-01,-2.63E-03,10.007690
"1,387",-6.00E-01,-2.63E-03,10.007710
"1,388",-6.00E-01,-2.63E-03,10.007730
"1,389",-6.00E-01,-2.63E-03,10.007750
"1,390",-6.00E-01,-2.63E-03,10.007770
"1,391",-6.00E-01,-2.63E-03,10.007790
"1,392",-6.00E-01,-2.63E-03,10.007810
"1,393",-6.00E-01,-2.63E-03,10.007830
"1,394",-6.00E-01,-2.63E-03,10.007850
"1,395",-6.00E-01,-2.63E-03,10.007870
"1,396",-6.00E-01,-2.63E-03,10.007890
"1,397",-6.00E-01,-2.63E-03,10.007910
"1,398",-6.00E-01,-2.63E-03,10.007930
"1,399",-6.00E-01,-2.63E-03,10.007950
"1,400",-6.00E-01,-2.63E-03,10.007970
"1,401",-6.00E-01,-2.63E-03,10.007990
"1,402",-6.00E-01,-2.63E-03,10.008010
"1,403",-6.00E-01,-2.63E-03,10.008030
"1,404",-6.00E-01,-2.63E-03,10.008050
"1,405",-6.00E-01,-2.63E-03,10.008070
"1,406",-6.00E-01,-2.63E-03,10.008090
"1,407",-6.00E-01,-2.63E-03,10.008110
"1,408",-6.00E-01,-2.63E-03,10.008130
"1,409",-6.00E-01,-2.63E-03,10.008150
"1,410",-6.00E-01,-2.63E-03,10.008170
"1,411",-6.00E-01,-2.63E-03,10.008190
"1,412",-6.00E-01,-2.63E-03,10.008210
"1,413",-6.00E-01,-2.63E-03,10.008230
"1,414",-6.00E-01,-2.63E-03,10.008250
"1,415",-6.00E-01,-2.63E-03,10.008270
"1,416",-6.00E-01,-2.63E-03,10.008290
"1,417",-6.00E-01,-2.63E-03,10.008310
"1,418",-6.00E-01,-2.63E-03,10.008330
"1,419",-6.00E-01,-2.63E-03,10.008350
"1,420",-6.00E-01,-2.63E-03,10.008370
"1,421",-6.00E-01,-2.63E-03,10.008390
"1,422",-6.00E-01,-2.63E-03,10.008410
"1,423",-6.00E-01,-2.63E-03,10.008430
"1,424",-6.00E-01,-2.63E-03,10.008450
"1,425",-6.00E-01,-2.63E-03,10.008470
"1,426",-6.00E-01,-2.63E-03,10.008490
"1,427",-6.00E-01,-2.63E-03,10.008510
"1,428",-6.00E-01,-2.63E-03,10.008530
"1,429",-6.00E-01,-2.63E-03,10.008550
"1,430",-6.00E-01,-2.63E-03,10.008570
"1,431",-6.00E-01,-2.63E-03,10.008590
"1,432",-6.00E-01,-2.63E-03,10.008610
"1,433",-6.00E-01,-2.63E-03,10.008630
"1,434",-6.00E-01,-2.63E-03,10.008650
"1,435",-6.00E-01,-2.63E-03,10.008670
"1,436",-6.00E-01,-2.63E-03,10.008690
"1,437",-6.00E-01,-2.63E-03,10.008710
"1,438",-6.00E-01,-2.63E-03,10.008730
"1,439",-6.00E-01,-2.63E-03,10.008750
"1,440",-6.00E-01,-2.63E-03,10.008770
"1,441",-6.00E-01,-2.63E-03,10.008790
"1,442",-6.00E-01,-2.63E-03,10.008810
"1,443",-6.00E-01,-2.63E-03,10.008830
"1,444",-6.00E-01,-2.63E-03,10.008850
"1,445",-6.00E-01,-2.63E-03,10.008870
"1,446",-6.00E-01,-2.63E-03,10.008890
"1,447",-6.00E-01,-2.63E-03,10.008910
"1,448",-6.00E-01,-2.63E-03,10.008930
"1,449",-6.00E-01,-2.63E-03,10.008950
"1,450",-6.00E-01,-2.63E-03,10.008970
"1,451",-6.00E-01,-2.63E-03,10.008990
"1,452",-6.00E-01,-2.63E-03,10.009010
"1,453",-6.00E-01,-2.63E-03,10.009030
"1,454",-6.00E-01,-2.63E-03,10.009050
"1,455",-6.00E-01,-2.63E-03,10.009070
"1,456",-6.00E-01,-2.63E-03,10.009090
"1,457",-6.00E-01,-2.63E-03,10.009110
"1,458",-6.00E-01,-2.63E-03,10.009130
"1,459",-6.00E-01,-2.63E-03,10.009150
"1,460",-6.00E-01,-2.63E-03,10.009170
"1,461",-6.00E-01,-2.63E-03,10.009190
"1,462",-6.00E-01,-2.63E-03,10.009210
"1,463",-6.00E-01,-2.63E-03,10.009230
"1,464",-6.00E-01,-2.63E-03,10.009250
"1,465",-6.00E-01,-2.63E-03,10.009270
"1,466",-6.00E-01,-2.63E-03,10.009290
"1,467",-6.00E-01,-2.63E-03,10.009310
"1,468",-6.00E-01,-2.63E-03,10.009330
"1,469",-6.00E-01,-2.63E-03,10.009350
"1,470",-6.00E-01,-2.63E-03,10.009370
"1,471",-6.00E-01,-2.63E-03,10.009390
"1,472",-6.00E-01,-2.63E-03,10.009410
"1,473",-6.00E-01,-2.63E-03,10.009430
"1,474",-6.00E-01,-2.63E-03,10.009450
"1,475",-6.00E-01,-2.63E-03,10.009470
"1,476",-6.00E-01,-2.63E-03,10.009490
"1,477",-6.00E-01,-2.63E-03,10.009510
"1,478",-6.00E-01,-2.63E-03,10.009530
"1,479",-6.00E-01,-2.63E-03,10.009550
"1,480",-6.00E-01,-2.63E-03,10.009570
"1,481",-6.00E-01,-2.63E-03,10.009590
"1,482",-6.00E-01,-2.63E-03,10.009610
"1,483",-6.00E-01,-2.63E-03,10.009630
"1,484",-6.00E-01,-2.63E-03,10.009650
"1,485",-6.00E-01,-2.63E-03,10.009670
"1,486",-6.00E-01,-2.63E-03,10.009690
"1,487",-6.00E-01,-2.63E-03,10.009710
"1,488",-6.00E-01,-2.63E-03,10.009730
"1,489",-6.00E-01,-2.63E-03,10.009750
"1,490",-6.00E-01,-2.63E-03,10.009770
"1,491",-6.00E-01,-2.63E-03,10.009790
"1,492",-6.00E-01,-2.63E-03,10.009810
"1,493",-6.00E-01,-2.63E-03,10.009830
"1,494",-6.00E-01,-2.63E-03,10.009850
"1,495",-6.00E-01,-2.63E-03,10.009870
"1,496",-6.00E-01,-2.63E-03,10.009890
"1,497",-6.00E-01,-2.63E-03,10.009910
"1,498",-6.00E-01,-2.63E-03,10.009930
"1,499",-6.00E-01,-2.63E-03,10.009950
"1,500",-6.00E-01,-2.63E-03,10.009970
"1,501",-6.00E-01,-2.63E-03,10.009990
"1,502",-6.00E-01,-2.63E-03,10.010010
"1,503",-6.00E-01,-2.63E-03,10.010030
"1,504",-6.00E-01,-2.63E-03,10.010050
"1,505",-6.00E-01,-2.63E-03,10.010070
"1,506",-6.00E-01,-2.63E-03,10.010090
"1,507",-6.00E-01,-2.63E-03,10.010110
"1,508",-6.00E-01,-2.63E-03,10.010130
"1,509",-6.00E-01,-2.63E-03,10.010150
"1,510",-6.00E-01,-2.63E-03,10.010170
"1,511",-6.00E-01,-2.63E-03,10.010190
"1,512",-6.00E-01,-2.63E-03,10.010210
"1,513",-6.00E-01,-2.63E-03,10.010230
"1,514",-6.00E-01,-2.63E-03,10.010250
"1,515",-6.00E-01,-2.63E-03,10.010270
"1,516",-6.00E-01,-2.63E-03,10.010290
"1,517",-6.00E-01,-2.63E-03,10.010310
"1,518",-6.00E-01,-2.63E-03,10.010330
"1,519",-6.00E-01,-2.63E-03,10.010350
"1,520",-6.00E-01,-2.63E-03,10.010370
"1,521",-6.00E-01,-2.63E-03,10.010390
"1,522",-6.00E-01,-2.63E-03,10.010410
"1,523",-6.00E-01,-2.63E-03,10.010430
"1,524",-6.00E-01,-2.63E-03,10.010450
